location,latitude,longitude,post,country,water,water_name,city_slug,water_name_slug,is_2020,city,bfsnum,population,buildings,streets,intersects,pop_group_proj,pop_group_rip,streets_rank,buildings_rank
rhein_domatems_foppa_f,46.8380375,9.447638699999999,7013,CH,r,Rhein,domat-ems,rhein,False,Domat/Ems,3722,8038,289006.78,84460.43,0,2,3,3,2
rhein_eglisau_gomringerp,47.5733159,8.5345847,8193,CH,r,Rhein,eglisau,rhein,False,Eglisau,55,5217,197758.52,95367.06,0,1,3,3,1
Rhein_Hemishofen_StollL,47.675523600000005,8.828029199999998,8261,CH,r,Rhein,hemishofen,rhein,False,Hemishofen,2962,468,77712.54,74746.25,0,0,0,3,0
Rivapiana,46.172079,8.813255,6648,CH,l,Lago Maggiore,minusio,lago-maggiore,True,Minusio,5118,7302,647093.65,87775.53,7,2,3,3,3
Rocky plage,46.20973675,6.16495237,1208,CH,l,Lac Léman,geneve,lac-leman,True,Genève,6621,201818,857652.46,126987.14,4,3,3,3,3
Rolle-plage,46.4613,6.349739,1180,CH,l,Lac Léman,rolle,lac-leman,False,Rolle,5861,6259,310953.37,78083.22,5,2,3,3,2
Route 13,46.162521000000005,8.7825791,6600,CH,r,Maggia,locarno,maggia,True,Locarno,5113,15826,1029224.61,131844.41,1,3,3,3,3
Ruisseau de la croix plage,46.81392,6.7747,1468,CH,l,Neuenburgersee,cheyres,neuenburgersee,True,Cheyres-Châbles,2055,2320,90976.1,32162.85,7,0,2,0,0
Saint Sulpice,46.507808000000004,6.545344,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,False,Saint-Sulpice (VD),5648,4668,264916.07,56827.3,1,1,3,1,2
san nazzaro-gambarogno,46.130443,8.798657,6575,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,Gambarogno,5398,5192,143190.46,45681.26,13,1,3,1,1
schiffenensee_duedingen_hirschij,46.859151399999995,7.176437400000001,3186,CH,l,Schiffenensee,dudingen,schiffenensee,False,Düdingen,2293,7964,187289.41,48573.88,0,2,3,1,1
Schmerikon Bahnhof Strand,47.224779999999996,8.944180000000001,Postal-code,CH,l,Zurichsee,schmerikon,zurichsee,True,Schmerikon,3338,3710,240206.05,75998.95,10,1,2,3,2
Schüsspark strand,47.1465,7.268619999999999,2504,CH,r,Schüss,biel,schuss,True,Biel/Bienne,371,55159,1041546.23,140848.73,0,3,3,3,3
