slug,location,latitude,longitude,post,country,water,water_name,city_slug,water_name_slug,is_2020,city,bfsnum,population
signalpain,Signalpain,46.78620000,6.64736000,1400,CH,l,Neuenburgersee,yverdon-les-bains,neuenburgersee,True,Yverdon-les-Bains,5938,30157
sihlsee_einsiedeln_schilligerllacherl,sihlsee_einsiedeln_schilligerllacherl,47.14139380,8.76035880,8840,CH,l,Sihlsee,einsiedeln,sihlsee,False,Einsiedeln,1301,15870
sihl_adliswil_oggi_fort,Sihl_Adliswil_Oggi_Fort,47.31242170,8.52625490,8134,CH,r,Sihl,adliswil,sihl,False,Adliswil,131,18769
sihl_leimbach_kruegerm,sihl_leimbach_kruegerm,47.32543610,8.51911950,8041,CH,r,Sihl,zurich,sihl,False,Zürich,261,415367
sihl_menzingen_kucharska_magdalena,Sihl_Menzingen_Kucharska_Magdalena,47.19150120,8.61842140,6313,CH,r,Sihl,menzingen,sihl,False,Menzingen,1704,4539
sihl_zuerich_eggerskoehlingera,sihl_zuerich_eggerskoehlingera,47.38189810,8.53832790,8005,CH,r,Sihl,zurich,sihl,False,Zürich,261,415367
sihl_zuerich_eichenbergerd,Sihl_zuerich_eichenbergerD,47.33958830,8.51669650,8041,CH,r,Sihl,zurich,sihl,True,Zürich,261,415367
sihl_zuerich_scherfs,Sihl_Zuerich_ScherfS,47.37314950,8.53236980,8001,CH,r,Sihl,zurich,sihl,False,Zürich,261,415367
sihl_zurich_himmelhebern,sihl_zurich_himmelhebern,47.34305540,8.51861220,8041,CH,r,Sihl,zurich,sihl,False,Zürich,261,415367
sitter_gaiserwald_buehlerf,sitter_gaiserwald_buehlerf,47.42516090,9.34010370,9000,CH,r,Sitter,st-gallen,sitter,False,St. Gallen,3203,75833
sitter_stgallen_jennya,Sitter_St.Gallen_JennyA,47.41024240,9.32037600,9014,CH,r,Sitter,st-gallen,sitter,False,St. Gallen,3203,75833
sitter_stgallen_steinbrunnerf,sitter_stgallen_steinbrunnerf,47.43329170,9.35807470,9000,CH,r,Sitter,st-gallen,sitter,False,St. Gallen,3203,75833
sorne_birse_wwfjura,sorne_birse_WWFJura,47.37098680,7.36090990,2800,CH,r,Birs,delemont,birs,False,Delémont,6711,12682
spackmatt,Späckmatt,47.22374900,7.57671100,4542,CH,r,Aare,luterbach,aare,True,Luterbach,2527,3480
