slug,location,latitude,longitude,city,post,country,water,water_name,city_slug,water_na_1,is_2020,NUMPOINTS
plage-de-st-sulpice,Plage de St Sulpice,46.513264999999997,6.570977000000000,Saint Sulpice,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,True,2
pointe-dareuse,Pointe d'Areuse,46.946190000000001,6.870970000000000,Boudry,2017,CH,l,Neuenburgersee,boudry,neuenburgersee,True,14
preverenges,Préverenges,46.512689999999999,6.527657000000000,Préverenges,1028,CH,l,Lac Léman,preverenges,lac-leman,True,4
quai-maria-belgia,Quai Maria Belgia,46.460155999999998,6.836718000000000,Vevey,1800,CH,l,Lac Léman,vevey,lac-leman,True,8
rastplatz-stampf,Rastplatz Stampf,47.215176999999997,8.844286000000000,Jona city,8645,CH,l,Zurichsee,jona-city,zurichsee,True,10
reuss,Reuss,47.329869100000003,8.356849300000000,Bremgarten,5626,CH,r,Reuss,bremgarten,reuss,False,0
reuss_hunenberg_eberhardy,reuss_hünenberg_eberhardy,47.232975500000002,8.401012100000001,Hünenberg,6331,CH,r,Reuss,hunenberg,reuss,False,0
reuss_ottenbach_schoenenbergerl,reuss_ottenbach_schoenenbergerl,47.278354499999999,8.394224200000000,Merenschwand,5634,CH,r,Reuss,merenschwand,reuss,False,0
reuss_stkarli_linigersimhofy,Reuss_St.Karli_LinigerS/ImhofY,47.057111800000001,8.287914499999999,Luzern,6004,CH,r,Reuss,luzern,reuss,False,0
rhein-beach-tinguely,Rhein Beach Tinguely,47.558643900000000,7.612153600000000,Basel,4058,CH,r,Rhein,basel,rhein,False,0
rhein_basel,Rhein_Basel,47.556801800000002,7.601085600000000,Basel,4058,CH,r,Rhein,basel,rhein,False,0
rhein_basel_blarerp_1,Rhein_Basel_BlarerP_1,47.589406199999999,7.587318100000000,Huningue,68330,CH,r,Rhein,huningue,rhein,False,0
rhein_basel_blarerp_2,Rhein_Basel_BlarerP_2,47.591151000000004,7.587948500000000,Huningue,68330,CH,r,Rhein,huningue,rhein,False,0
rhein_basel_hungerbuehlern,Rhein_Basel_HungerbuehlerN,47.558217599999999,7.610348800000000,Basel,4058,CH,r,Rhein,basel,rhein,False,0
rhein_domatems_foppa_f,rhein_domatems_foppa_f,46.838037499999999,9.447638700000001,Domat Ems,7013,CH,r,Rhein,domat-ems,rhein,False,0
rhein_eglisau_gomringerp,rhein_eglisau_gomringerp,47.573315899999997,8.534584700000000,Eglisau,8193,CH,r,Rhein,eglisau,rhein,False,0
rhein_hemishofen_stolll,Rhein_Hemishofen_StollL,47.675523599999998,8.828029200000000,Hemishofen,8261,CH,r,Rhein,hemishofen,rhein,False,0
