,code,rank,location,population,groupname,l_weight,type,pcs_m,n_times,quantity,% of total,n_weight
249,G100,181,evole-plage,33489.0,waste water,0.088,l,0.0,2,0,0.0,0.016
250,G100,181,la-petite-plage,30157.0,waste water,0.088,l,0.0,2,0,0.0,0.016
251,G100,181,luscherz-plage,560.0,waste water,0.032,l,0.0,1,0,0.0,0.008
252,G100,181,mullermatte,55159.0,waste water,0.088,l,0.0,1,0,0.0,0.008
253,G100,181,plage-de-cheyres,2320.0,waste water,0.088,l,0.0,1,0,0.0,0.008
254,G100,181,thun-strandbad,43734.0,waste water,0.016,l,0.0,1,0,0.0,0.008
255,G100,181,weissenau-neuhaus,5751.0,waste water,0.08,l,0.0,1,0,0.0,0.008
256,G100,182,bielersee_vinelz_fankhausers,867.0,waste water,0.088,l,0.0,4,0,0.0,0.032
257,G100,182,camp-des-peches,4645.0,waste water,0.008,l,0.0,1,0,0.0,0.008
258,G100,182,camping-gwatt-strand,43734.0,waste water,0.008,l,0.0,1,0,0.0,0.008
259,G100,182,evole-plage,33489.0,waste water,0.088,l,0.0,2,0,0.0,0.016
260,G100,182,la-petite-plage,30157.0,waste water,0.088,l,0.0,3,0,0.0,0.024
261,G100,182,luscherz-plage,560.0,waste water,0.032,l,0.0,1,0,0.0,0.008
262,G100,182,nouvelle-plage,9716.0,waste water,0.008,l,0.0,1,0,0.0,0.008
263,G100,182,plage-de-cheyres,2320.0,waste water,0.088,l,0.0,1,0,0.0,0.008
264,G100,182,schusspark-strand,55159.0,waste water,0.016,r,0.0,1,0,0.0,0.008
265,G100,182,thun-strandbad,43734.0,waste water,0.016,l,0.0,1,0,0.0,0.008
266,G100,182,thunersee_spiez_meierd_1,12812.0,waste water,0.088,l,0.0,2,0,0.0,0.016
267,G100,182,weissenau-neuhaus,5751.0,waste water,0.08,l,0.0,1,0,0.0,0.008
268,G100,183,aare_bern_gerberm,133883.0,waste water,0.008,r,0.0,1,0,0.0,0.008
269,G100,183,bielersee_vinelz_fankhausers,867.0,waste water,0.088,l,0.0,1,0,0.0,0.008
270,G100,183,delta-park,12812.0,waste water,0.008,l,0.0,1,0,0.0,0.008
271,G100,183,evole-plage,33489.0,waste water,0.088,l,0.0,1,0,0.0,0.008
272,G100,183,hauterive-petite-plage,2623.0,waste water,0.008,l,0.0,1,0,0.0,0.008
273,G100,183,ligerz-strand,544.0,waste water,0.016,l,0.0,1,0,0.0,0.008
274,G100,183,luscherz-plage,560.0,waste water,0.032,l,0.0,1,0,0.0,0.008
275,G100,183,plage-de-cheyres,2320.0,waste water,0.088,l,0.0,3,0,0.0,0.024
276,G100,183,pointe-dareuse,6154.0,waste water,0.008,l,0.0,1,0,0.0,0.008
277,G100,183,strandboden-biel,55159.0,waste water,0.016,l,0.0,1,0,0.0,0.008
278,G100,183,sundbach-strand,1195.0,waste water,0.016,l,0.0,1,0,0.0,0.008
