,code,material,description,source,source_two,source_three,parent_code,direct,single_use,micro,ospar_code
22,G207,Glass,Pots à poulpe,Fishing,Where does it come from,,Parent code,True,False,False,
23,G208,Glass,"Fragments de verre ou de céramique > 2,5 cm",Undefined,Where does it come from,none,Parent code,True,False,False,none
24,G209,Glass,Grands objets en verre,Undefined,Where does it come from,,Parent code,True,False,False,
25,G210,Glass,Autre verre/céramique,Undefined,Where does it come from,none,Parent code,True,False,False,96
26,G917,Glass,Boules de terre cuite,Utility items,Where does it come from,none,G210,False,False,False,96
27,G921,Glass,Carreaux et pièces de céramique,Construction,Where does it come from,none,G204,False,False,False,94
28,G174,métal,Bombes aérosols,Packaging,Where does it come from,,Parent code,True,False,False,
29,G175,métal,"Boîtes de conserve, boissons",Packaging,Food and drink,none,Parent code,True,True,False,78
30,G176,métal,Boîtes de conserve,Packaging,Food and drink,none,Parent code,True,True,False,82
31,G177,métal,Papier d'emballage d'aluminium,Packaging,Where does it come from,none,Parent code,True,False,False,81
32,G178,métal,"Bouchons de bouteilles en métal, couvercles et tirettes",Packaging,Food and drink,Direct,Parent code,True,True,False,77
33,G179,métal,Barbecues jetables,Recreation,Where does it come from,,Parent code,True,False,False,
34,G180,métal,Appareils ménagers,Utility items,Where does it come from,,Parent code,True,False,False,
35,G181,métal,"Vaisselle en métal; tasses, couverts",Food,Where does it come from,none,Parent code,True,False,False,89
36,G182,métal,"Hameçons, poids, leurres, plombs",Fishing,Where does it come from,none,Parent code,True,False,False,80
37,G183,métal,Restes d'hameçons,Fishing,Where does it come from,,Parent code,True,False,False,
38,G184,métal,Casiers à homards,Fishing,Where does it come from,,Parent code,True,False,False,
39,G185,métal,Conteneurs de taille moyenne,Utility items,Where does it come from,,Parent code,True,False,False,
40,G186,métal,Débris industriels,Undefined,Where does it come from,,Parent code,True,False,False,
41,G187,métal,Tonneaux,Packaging,Where does it come from,,Parent code,True,False,False,
42,G188,métal,Autres bidons < 4 L,Packaging,Where does it come from,none,Parent code,True,False,False,89
43,G189,métal,"Bouteilles, fûts et seaux à gaz > 4L",Packaging,Where does it come from,none,Parent code,True,False,False,none
44,G190,métal,Bidons de peinture,Packaging,Where does it come from,,Parent code,True,False,False,
45,G191,métal,Fils et grillages,Utility items,Where does it come from,,Parent code,True,False,False,
46,G192,métal,Tonneau de pétrole,Undefined,Where does it come from,,Parent code,True,False,False,
47,G193,métal,Pièces automobiles et batteries,Vehicle,Where does it come from,,Parent code,True,False,False,
48,G194,métal,"Câbles, fil métallique",Construction,Electronics,none,Parent code,False,False,False,89
49,G195,métal,Batteries domestiques,Utility items,Where does it come from,,Parent code,True,False,False,
50,G196,métal,Grands objets métalliques,Undefined,Where does it come from,,Parent code,True,False,False,
51,G197,métal,Autre métal,Undefined,Where does it come from,,Parent code,True,False,False,
52,G198,métal,Autres pièces métalliques < 50cm,Undefined,Where does it come from,,Parent code,True,False,False,
53,G199,métal,Autres pièces métalliques > 50cm,Undefined,Where does it come from,,Parent code,True,False,False,
54,G906,métal,Capsules de café en aluminium,Packaging,Food and drinks,Where does it come from,G177,False,True,False,81
